OrganizationName,Address,Phone,Description,URL,Lat,Long
"Women's Project & Productions, Inc.",,2127651706,"Women's Project is the nation's oldest and largest company dedicated to  producing and promoting theater created by women, and providing a stage for women?s perspectives on a wide variety of political, social, religious, and cultural topics. Women's Project was founded in 1978 by Julia Miles to address the conspicuous under-representation of women artists in the American theater. Now entering its fourth decade under the leadership of Julie Crosby, countless artists have achieved significant recognition through WP productions, including Anne Bogart, Eve Ensler, Lynn Nottage, Maria Irene Fornes, Rinne Groff, Suzan-Lori Parks, Naomi Wallace, and Anna Deavere Smith, among the many. During its 31 years, WP has staged over 600 mainstage productions and developmental projects, and published ten anthologies of plays. Women's Project mentors talented artists through its free, intensive Directors, Playwrights, and Producers Labs, and reaches over 2,000 students annually through Ten Centuries of Women Playwrights, an award-winning arts education program. In 1998, Women?s Project purchased a historic off-Broadway venue christened the Julia Miles Theater in 2004 on Manhattan's West 55th Street, making WP the first and only women's theater company to hold the keys to its own stage.",http://www.womensproject.org,,
NPower,,2125647010,"We are a national nonprofit organization providing technology assistance to other nonprofits.  In addition, we run a workforce development program that trains at-risk youth between the ages of 18-25 to be junior technologists.  We then work with the nonprofits to get the graduates placed in career advancing positions.",http://www.npower.org,,
"Children's Arts & Science Workshops, Inc.",,2129237766,"Originally established as a substitute educational program in the wake of the 1968 New York City teachers' strike, the agency presently provides educational, employment, recreational and cultural programs for over 3,000 youth on a year-round basis.  Additionally, CASW bears the distinction of conducting the neighborhood's only year-round, after-school and weekend training workshops in dance, music, art, science and martial arts.  CASW strives to reach those youth with fragile family support systems; the vast majority of whom are recently arrived immigrants.  We also provide strong academic support for those who are at-risk of dropping out of school through our after-school tutoring and basic skills instruction.  Through numerous activities that build self-reliance and conflict resolution skills, youth are taught to cope with the negative influences that confront them on a daily basis.   Our programs and services provide a holistic approach to the needs of youth and their families.  All participants receive an in depth interview to help us assess their needs and determine if they need to be referred to other social service agencies that would better address their particular need(s) or problem(s).",http://www.caswkids.org,,
Red Hook Initiative,,7188586782,"The Red Hook Initiative works to confront the consequences of intergenerational poverty through an approach that provides support in the areas of education, employment, health, and community development. We provide services mainly to young people between the ages of 9 - 24 years old. We provide programming 12 hours per day, six days per week. Our organization hires residents of the Red Hook Houses who empower themselves to create programs for their family and friends.",http://www.rhicenter.org,,
Jamaica Service Program for Older Adults (JSPOA),,7186576500,"Senior Centers, In-Home Services, Senior Employment Program,Elderly Crime Victims Assistance, Adult Day Care, Advocacy, Health Monitoring, Arts Center",http://www.jspoa.org,,
"Riverdale Neighborhood House, Inc.",,7185498100,"Since our founding in 1872, Riverdale Neighborhood House (RNH) has partnered with the residents of the Northwest Bronx to build and sustain a healthy and productive community. RNH delivers first-rate educational and social services to the entire community: children, teens, seniors and families. RNH programs strengthen the social fabric of our community and enhance the quality of life for our neighbors.",http://www.riverdaleonline.org,,
The Brooklyn Young Mothers' Collective,,7185967074,The Brooklyn Young Mothers' Collective provides disadvantaged young mothers with a comprehensive set of services focused on educational attainment and developing their academic and social/emotional skills to enhance their future success and to help them become self-sufficient adults.,http://.www.bymcinc.org,,
New York Women in Film and Television,,2126790870,"New York Women in Film & Television (NYWIFT) is a nonprofit membership organization for professional women in film, television and new media. A champion of women's rights, achievements and points of view in the film and television industry, NYWIFT is an educational forum for media professionals, and a network for the exchange of information and resources.",http://www.nywift.org/,,
Hebrew Immigrant Aid Society (HIAS),,2129674100,"PRE and POST-MIGRATION SERVICES. Advice and assistance for prospective refugees and immigrants both overseas and in the U.S. including credible, timely migration information on U.S. policies and procedures; help in evaluating whether individuals qualify for an immigrant visa petition and aid in preparing documents; training tools to help prepare for the naturalization exam and interview and assistance in completing the the applications; legal counseling and representation at immigration proceedings; a worldwide location service to find relatives and other missing persons; scholarships for former clients and their children to help these new Americans pursue their education and career goals.",http://www.hias.org/,,
International Rescue Committee (NYCREP/IRC),,2125513150,"Provides assistance to refugees.  Services include ESOL program, job preparation, job orientation job counseling, job placement and follow-up.",http://www.theirc.org,,
Queens Jewish Community Council (QJCC),,7185449033,Services include: benefits counseling; job placement;security devices; emergency financial assistance; food distribution; child health class.,http://www.qjcc.org,,
Emerald Isle Immigration Center,,7184785502,"Founded by Irish immigrants, but now serves all immigrants..  Services include counseling and assistance with immigration matters, counseling on obtaining citizenship, training for the citizichip exam, educational counseling (how to apply to schools and colleges, etc.) computer training and employment counseling.",http://www.eiic.org,,
Fedcap,,2127274200,,http://www.fedcap.org,,
Institute for the Puerto Rican/Hispanic Elderly,,7184787171,Services include:  entitlement; advocacy and service monitoring; crisis counseling; hotline; leadersip training; employment/training; translation; social/cultural activities; information & referral; case management and linkage.,,,
VISIONS at Selis Manor,,6464864444,,http://www.visionsvcb.org,,
Women's Enterprise Development Center,,9149486098,"WEDC builds a vibrant community of women entrepreneurs by providing high quality training programs and support services to both start-up and established women business owners in Westchester County and the Lower Hudson Valley, including training and microenterprise funding opportunities for minority and economically disadvantaged women.",http://www.wedc-westchester.org,,
Transitional Services for New York,,7185268400,"Using self-help approach and with selective assistance, Center members are empowered to address concerns in the following areas: english as a second language, access to community-based mental health services and the health care system; entitlements: SSI, SSD, Medicaid; education and employment opportunities; advocacy/empowerment; socialization and leisure time activities; anti-stigma initiatives and computer classes.",http://www.tsiny.org/,,
"ParentJobNet, Inc.",,9175469104,"Our mission is to help educate, prepare, and connect low to moderate income public school parents, particularly women, with job opportunities and other resources that empower them to build financial security and peace of mind for their families.",http://www.ParentJobNet.org,,
Jewish Community Council of the Rockaway Peninsula,,7183277755,,http://www.jccrp.org,,
Korean American Senior Center of Corona,,7186519220,,http://www.kcsny.org,,
Bramson ORT Technical Institute,,7182615800,"Two year technical college that offers Associate degrees in: Accounting,Medical Assistant;Business & Hotel Management;Computer Networking, Computer Programming,Computer Information Systems,Electronics Technology,Grapic Design,Web Design & Web Animation, HVAC& CADD, Distance Learning is available,job placement assitance and Financial Aid for all qualified students.",http://www.bramsonort.edu,,
YWCA of New York City,,2127359773,"The YW stands for the elimination of racism and the empowerment of women. The YW focuses its resources on helping communities in-need, with four affordable high-quality childcare centers in Manhattan, Staten Island and Brooklyn, and after school programs in lower Manhattan, Coney Island and Brownsville, Brooklyn. The YW opened its first Family Resource Center in 2006, continuing to shape the generations of children and women to come.",http://ywcanyc.org,,
Crown Heights Jewish Community Council,,7187788808,"Crown Heights Jewish Community Council (CHJCC) is a private, nonprofit social service agency serving one of the most diverse and challenging neighborhoods in New York City. The agency was formed in 1969 in response to deteriorating social and economic conditions in the neighborhood. The population of the 116-city block cache area known as Crown Heights is comprised of persons of many cultures and includes new immigrants. According to the 1990 census, incomes tend to be low - often below poverty levels. Housing is mostly old (circa 1900 - 1930) and at a premium. CHJCC administers programs, advocates for clients, and provides referrals on issues of housing, employment, economic development, entitlements, problems of the aging, aid to crime victims, assistance for indigent residents. CHJCC has created multi-racial, faith, and community-based programs such as Project Care, which unites civic and religious leaders from every segment of the community in a funded program to promote efforts in social and economic development. Creative initiatives such as Project Care have addressed areas of common concern, and new avenues of communication and cooperation have emerged. One of the major goals of the CHJCC is to promote an atmosphere of understanding and cooperation in the community. Areas of common concern, including housing, poverty, crime, employment, education and economic development, are being addressed through new programs.",,,
East River Development Alliance,,7187840877,"The East River Development Alliance (ERDA) is a non-profit organization in Long Island City, Queens, working to transform and improve New York City public housing neighborhoods by providing residents with the tools and opportunities necessary for self-sufficiency and economic mobility.  ERDA currently works in Queensbridge, Ravenswood, Astoria and Woodside Houses and provides technical support to leadership in public housing developments throughout New York City.",http://www.erdalliance.org,,
"Rocking the Boat, Inc.",,7184665799,"Rocking the Boat uses traditional wooden boatbuilding and on-water education to help young people develop into empowered and responsible adults. Through these mediums, Rocking the Boat enables South Bronx students to deal with everyday realities that are often not addressed at home or in school. Five levels of community and youth development programs operate during the fall and spring academic semesters and over the summer. Together, the programs directly serve over 2,000 students and community members drawn from a range of New York City public middle schools, high schools and neighborhoods, the majority being in the South Bronx. Kids don't just build boats at Rocking the Boat, boats build kids.",,,
Fortune Society,,2126917554,,http://www.fortunesociety.org,,
HELP USA,,2124007000,,http://www.helpusa.org,,
American Indian Community House,,2125980100,"The American Indian Community House (AICH) is a 501(c)(3) not-for-profit organization serving the health, social service, and cultural needs of Native Americans residing in New York City.",http://www.aich.org,,
National Employment Law Project,,2122853025,"For almost 30 years, NELP has advocated on behalf of the working poor, the unemployed, and other groups that face significant barriers to employment and government systems of support.",http://www.nelp.org,,
Seedco,,2124730255,,http://www.seedco.org,,
South Asian Council for Social Services (SACSS),,7183217929,"To plan, provide, support and advocate for a continuum of programs addressing the social service needs of the uderserved South Asian and other immigrant communities in New York City.  SACSS programs involve 9/11 emergency relief counseling, coalition/capacity building and community education, outreach, and policy advocacy events.  It also offers ESOL classes, job training programs and parenting workshops.",http://www.sacssny.org/,,
Support Center for Nonprofit Management,,2129246744,,http://www.supportcenteronline.org,,
Workers Awaaz,,7185650801,,,,
Queensboro Council for Social Welfare,,7184648811,Information and Referral; Technical Assistance and Training for Human Service Professionals,,,
LaGuardia Community College Workforce Education Center,,7184825340,Job Training and Computer Literacy Program,http://www.lagcc.cuny.edu/wec/computer.htm,,
Bottomless Closet,,2125632499,"The mission of Bottomless Closet is to promote economic self sufficiency by providing interview skills, business clothing, and ongoing career development and support programs to economically disadvantaged New York City women. By enhancing their self-confidence and self-esteem, we enable them to enter and succeed in the workforce and transform the vision for their lives.",http://www.bottomlessclosetnyc.org,,
Asian-Indian Women in America,"11J Flushing
11367
(40.730323085042414, -73.82610630716033)",7185916511,"AIWA has focused on articulating and promoting concerns of South Asian women in North America.  AIWA has worked extensively in areas such as employment, career development, cultural acculturation, integration, health, education and general welfare.  It has also provided charitable assistance and developed referral services.  AIWA members have done extensive outreach and speaking at various community and academic panels to address issues on political, civic, social, economic, cultural and religious fronts to develop a vibrant Asian/South Asian American community.",,,
Chinese American Planning Council,,2129410920,"The Chinese-American Planning Council, then known as the Chinatown Planning Council, was founded in 1965 as a grassroots community-based organization in response to the tremendous influx of Chinese immigrants after the change in immigration laws, and in the midst of the Great Society movement. Initially, CPC volunteers counseled families referred by local schools, and provided case management services to help immigrants adjust to their new homes. Filling a void in the community as the first social service agency to serve Chinese-Americans in New York, CPC began to expand its services based on the needs expressed by those in the community.",http://www.cpc-ny.org/,,
"100 Hispanic Women, Inc.",,2122391430,,http://www.100hispanicwomen.org,,
Center for Employment Opportunities,,2124224430,"The Center for Employment Opportunities (CEO) is dedicated to providing immediate, effective and comprehensive employment services to men and women with recent criminal convictions in New York City. Our highly structured and tightly supervised programs help participants regain the skills and confidence needed for a successful transition to a stable, productive life.",,,
Central Brooklyn Economic Development Corporation,,7184984513,,,,
"East Harlem Employment Services, Inc.",,2129872727,"STRIVE/East Harlem Employment Service, Inc. will provide technical assistance and ongoing support to 15 employers and labor unions, affecting 100 women in the New York City Empowerment Zone/Economic Communities who are returning to work from welfare.",http://www.workplacesolutions.org/about/strive.cfm,,
Employment Program for Recovered Alcoholics,,2129471471,"Since its inception in 1977, the Employment Program for Recovered Alcoholics (501.c.3) has provided the vocational rehabilitation link to a successful recovery process from the disease of alcoholism and substance abuse.   Studies have consistently demonstrated that job stability is a key factor in establishing long-term sobriety.  EPRA graduates are enabled to return to meaningful work, get off public assistance, pay taxes, and maintain long-term sobriety.",http://www.eprany.org/,,
Families and Work Institute,,2124652044,,,,
"Federation Employment and Guidance Service, Inc.",,2123668401,,,,
"Greater Ridgewood Youth Council, Inc.",,7184565437,,,,
Greenwich Village Youth Council,,6464695787,,,,
"Groundwork Inc,",,7183462200,,,,
"Harlem Educational Activities Fund, Inc.",,2126639732,,,,
